0,01;1,00E+00;4,44E-12;109†617
 ;2,00E+00;5,19E-12;
 ;3,00E+00;5,54E-12;
 ;4,00E+00;6,08E-12;
 ;5,00E+00;6,37E-12;
 ;6,00E+00;6,22E-12;
 ;7,00E+00;5,67E-12;
 ;8,00E+00;5,19E-12;
 ;9,00E+00;5,08E-12;
 ;1,00E+01;5,31E-12;9,91729E-15
0,02;1,00E+00;2,63E-12;55†593
 ;2,00E+00;3,09E-12;
 ;3,00E+00;3,31E-12;
 ;4,00E+00;3,59E-12;
 ;5,00E+00;3,73E-12;
 ;6,00E+00;3,66E-12;
 ;7,00E+00;3,36E-12;
 ;8,00E+00;3,07E-12;
 ;9,00E+00;3,03E-12;
 ;1,00E+01;3,20E-12;9,91729E-15
0,03;1,00E+00;3,37E-12;36†498
 ;2,00E+00;3,95E-12;
 ;3,00E+00;4,22E-12;
 ;4,00E+00;4,56E-12;
 ;5,00E+00;4,73E-12;
 ;6,00E+00;4,63E-12;
 ;7,00E+00;4,28E-12;
 ;8,00E+00;3,95E-12;
 ;9,00E+00;3,90E-12;
 ;1,00E+01;4,07E-12;9,91729E-15
0,04;1,00E+00;2,88E-12;27†393
 ;2,00E+00;3,38E-12;
 ;3,00E+00;3,61E-12;
 ;4,00E+00;3,87E-12;
 ;5,00E+00;3,99E-12;
 ;6,00E+00;3,92E-12;
 ;7,00E+00;3,65E-12;
 ;8,00E+00;3,37E-12;
 ;9,00E+00;3,35E-12;
 ;1,00E+01;3,50E-12;9,91729E-15
0,05;1,00E+00;3,16E-12;21†727
 ;2,00E+00;3,70E-12;
 ;3,00E+00;3,95E-12;
 ;4,00E+00;4,24E-12;
 ;5,00E+00;4,39E-12;
 ;6,00E+00;4,31E-12;
 ;7,00E+00;4,00E-12;
 ;8,00E+00;3,70E-12;
 ;9,00E+00;3,66E-12;
 ;1,00E+01;3,82E-12;9,91729E-15
0,06;1,00E+00;2,93E-12;18†064
 ;2,00E+00;3,44E-12;
 ;3,00E+00;3,67E-12;
 ;4,00E+00;3,93E-12;
 ;5,00E+00;4,06E-12;
 ;6,00E+00;3,99E-12;
 ;7,00E+00;3,71E-12;
 ;8,00E+00;3,44E-12;
 ;9,00E+00;3,41E-12;
 ;1,00E+01;3,56E-12;9,91729E-15
0,07;1,00E+00;3,07E-12;15†380
 ;2,00E+00;3,59E-12;
 ;3,00E+00;3,83E-12;
 ;4,00E+00;4,12E-12;
 ;5,00E+00;4,25E-12;
 ;6,00E+00;4,17E-12;
 ;7,00E+00;3,89E-12;
 ;8,00E+00;3,59E-12;
 ;9,00E+00;3,55E-12;
 ;1,00E+01;3,71E-12;9,91729E-15
0,08;1,00E+00;3,26E-12;13†360
 ;2,00E+00;3,82E-12;
 ;3,00E+00;4,07E-12;
 ;4,00E+00;4,37E-12;
 ;5,00E+00;4,52E-12;
 ;6,00E+00;4,43E-12;
 ;7,00E+00;4,13E-12;
 ;8,00E+00;3,82E-12;
 ;9,00E+00;3,78E-12;
 ;1,00E+01;3,94E-12;9,91729E-15
0,09;1,00E+00;3,03E-12;11†847
 ;2,00E+00;3,55E-12;
 ;3,00E+00;3,79E-12;
 ;4,00E+00;4,07E-12;
 ;5,00E+00;4,20E-12;
 ;6,00E+00;4,12E-12;
 ;7,00E+00;3,84E-12;
 ;8,00E+00;3,55E-12;
 ;9,00E+00;3,52E-12;
 ;1,00E+01;3,67E-12;9,91729E-15
0,1;1,00E+00;3,14E-12;10†595
 ;2,00E+00;3,68E-12;
 ;3,00E+00;3,92E-12;
 ;4,00E+00;4,21E-12;
 ;5,00E+00;4,35E-12;
 ;6,00E+00;4,27E-12;
 ;7,00E+00;3,98E-12;
 ;8,00E+00;3,68E-12;
 ;9,00E+00;3,64E-12;
 ;1,00E+01;3,79E-12;9,81609E-15
0,11;1,00E+00;2,98E-12;9†602
 ;2,00E+00;3,48E-12;
 ;3,00E+00;3,71E-12;
 ;4,00E+00;3,99E-12;
 ;5,00E+00;4,12E-12;
 ;6,00E+00;4,04E-12;
 ;7,00E+00;3,77E-12;
 ;8,00E+00;3,48E-12;
 ;9,00E+00;3,45E-12;
 ;1,00E+01;3,60E-12;9,91729E-15
0,12;1,00E+00;3,08E-12;8†746
 ;2,00E+00;3,61E-12;
 ;3,00E+00;3,85E-12;
 ;4,00E+00;4,13E-12;
 ;5,00E+00;4,27E-12;
 ;6,00E+00;4,19E-12;
 ;7,00E+00;3,90E-12;
 ;8,00E+00;3,61E-12;
 ;9,00E+00;3,57E-12;
 ;1,00E+01;3,72E-12;9,91729E-15
0,13;1,00E+00;3,09E-12;8†031
 ;2,00E+00;3,62E-12;
 ;3,00E+00;3,86E-12;
 ;4,00E+00;4,14E-12;
 ;5,00E+00;4,28E-12;
 ;6,00E+00;4,21E-12;
 ;7,00E+00;3,92E-12;
 ;8,00E+00;3,62E-12;
 ;9,00E+00;3,59E-12;
 ;1,00E+01;3,73E-12;9,81609E-15
0,14;1,00E+00;3,02E-12;7†426
 ;2,00E+00;3,53E-12;
 ;3,00E+00;3,76E-12;
 ;4,00E+00;4,04E-12;
 ;5,00E+00;4,17E-12;
 ;6,00E+00;4,10E-12;
 ;7,00E+00;3,82E-12;
 ;8,00E+00;3,53E-12;
 ;9,00E+00;3,50E-12;
 ;1,00E+01;3,64E-12;9,91729E-15
0,15;1,00E+00;3,02E-12;6†895
 ;2,00E+00;3,53E-12;
 ;3,00E+00;3,77E-12;
 ;4,00E+00;4,04E-12;
 ;5,00E+00;4,18E-12;
 ;6,00E+00;4,11E-12;
 ;7,00E+00;3,82E-12;
 ;8,00E+00;3,54E-12;
 ;9,00E+00;3,50E-12;
 ;1,00E+01;3,64E-12;9,91729E-15
0,16;1,00E+00;2,98E-12;6†434
 ;2,00E+00;3,48E-12;
 ;3,00E+00;3,71E-12;
 ;4,00E+00;3,99E-12;
 ;5,00E+00;4,12E-12;
 ;6,00E+00;4,05E-12;
 ;7,00E+00;3,77E-12;
 ;8,00E+00;3,49E-12;
 ;9,00E+00;3,45E-12;
 ;1,00E+01;3,59E-12;9,81609E-15
0,17;1,00E+00;3,04E-12;6†020
 ;2,00E+00;3,55E-12;
 ;3,00E+00;3,78E-12;
 ;4,00E+00;4,06E-12;
 ;5,00E+00;4,20E-12;
 ;6,00E+00;4,12E-12;
 ;7,00E+00;3,84E-12;
 ;8,00E+00;3,55E-12;
 ;9,00E+00;3,52E-12;
 ;1,00E+01;3,66E-12;9,91729E-15
0,18;1,00E+00;2,98E-12;5†660
 ;2,00E+00;3,48E-12;
 ;3,00E+00;3,71E-12;
 ;4,00E+00;3,98E-12;
 ;5,00E+00;4,12E-12;
 ;6,00E+00;4,04E-12;
 ;7,00E+00;3,76E-12;
 ;8,00E+00;3,48E-12;
 ;9,00E+00;3,44E-12;
 ;1,00E+01;3,59E-12;9,91729E-15
0,19;1,00E+00;3,01E-12;5†332
 ;2,00E+00;3,51E-12;
 ;3,00E+00;3,75E-12;
 ;4,00E+00;4,02E-12;
 ;5,00E+00;4,16E-12;
 ;6,00E+00;4,08E-12;
 ;7,00E+00;3,80E-12;
 ;8,00E+00;3,51E-12;
 ;9,00E+00;3,48E-12;
 ;1,00E+01;3,62E-12;9,91729E-15
0,2;1,00E+00;3,00E-12;5†039
 ;2,00E+00;3,51E-12;
 ;3,00E+00;3,74E-12;
 ;4,00E+00;4,02E-12;
 ;5,00E+00;4,15E-12;
 ;6,00E+00;4,08E-12;
 ;7,00E+00;3,80E-12;
 ;8,00E+00;3,51E-12;
 ;9,00E+00;3,48E-12;
 ;1,00E+01;3,62E-12;9,91729E-15
0,21;1,00E+00;2,93E-12;4†778
 ;2,00E+00;3,43E-12;
 ;3,00E+00;3,65E-12;
 ;4,00E+00;3,92E-12;
 ;5,00E+00;4,05E-12;
 ;6,00E+00;3,97E-12;
 ;7,00E+00;3,70E-12;
 ;8,00E+00;3,42E-12;
 ;9,00E+00;3,39E-12;
 ;1,00E+01;3,53E-12;9,91729E-15
0,22;1,00E+00;2,96E-12;4†535
 ;2,00E+00;3,46E-12;
 ;3,00E+00;3,68E-12;
 ;4,00E+00;3,95E-12;
 ;5,00E+00;4,08E-12;
 ;6,00E+00;4,01E-12;
 ;7,00E+00;3,74E-12;
 ;8,00E+00;3,46E-12;
 ;9,00E+00;3,42E-12;
 ;1,00E+01;3,56E-12;9,81609E-15
0,23;1,00E+00;2,87E-12;4†319
 ;2,00E+00;3,36E-12;
 ;3,00E+00;3,58E-12;
 ;4,00E+00;3,84E-12;
 ;5,00E+00;3,97E-12;
 ;6,00E+00;3,90E-12;
 ;7,00E+00;3,63E-12;
 ;8,00E+00;3,36E-12;
 ;9,00E+00;3,33E-12;
 ;1,00E+01;3,46E-12;9,81609E-15
0,24;1,00E+00;2,93E-12;4†114
 ;2,00E+00;3,42E-12;
 ;3,00E+00;3,65E-12;
 ;4,00E+00;3,91E-12;
 ;5,00E+00;4,04E-12;
 ;6,00E+00;3,97E-12;
 ;7,00E+00;3,70E-12;
 ;8,00E+00;3,42E-12;
 ;9,00E+00;3,39E-12;
 ;1,00E+01;3,52E-12;9,91729E-15
0,25;1,00E+00;2,87E-12;3†931
 ;2,00E+00;3,36E-12;
 ;3,00E+00;3,57E-12;
 ;4,00E+00;3,84E-12;
 ;5,00E+00;3,96E-12;
 ;6,00E+00;3,89E-12;
 ;7,00E+00;3,63E-12;
 ;8,00E+00;3,35E-12;
 ;9,00E+00;3,32E-12;
 ;1,00E+01;3,45E-12;9,91729E-15
0,26;1,00E+00;2,88E-12;3†759
 ;2,00E+00;3,36E-12;
 ;3,00E+00;3,58E-12;
 ;4,00E+00;3,84E-12;
 ;5,00E+00;3,97E-12;
 ;6,00E+00;3,90E-12;
 ;7,00E+00;3,63E-12;
 ;8,00E+00;3,36E-12;
 ;9,00E+00;3,33E-12;
 ;1,00E+01;3,46E-12;9,91729E-15
0,27;1,00E+00;2,83E-12;3†602
 ;2,00E+00;3,31E-12;
 ;3,00E+00;3,52E-12;
 ;4,00E+00;3,78E-12;
 ;5,00E+00;3,91E-12;
 ;6,00E+00;3,84E-12;
 ;7,00E+00;3,58E-12;
 ;8,00E+00;3,31E-12;
 ;9,00E+00;3,27E-12;
 ;1,00E+01;3,40E-12;9,91729E-15
0,28;1,00E+00;2,84E-12;3†454
 ;2,00E+00;3,31E-12;
 ;3,00E+00;3,53E-12;
 ;4,00E+00;3,79E-12;
 ;5,00E+00;3,92E-12;
 ;6,00E+00;3,84E-12;
 ;7,00E+00;3,58E-12;
 ;8,00E+00;3,31E-12;
 ;9,00E+00;3,28E-12;
 ;1,00E+01;3,41E-12;9,91729E-15
0,29;1,00E+00;2,78E-12;3†319
 ;2,00E+00;3,25E-12;
 ;3,00E+00;3,46E-12;
 ;4,00E+00;3,71E-12;
 ;5,00E+00;3,83E-12;
 ;6,00E+00;3,76E-12;
 ;7,00E+00;3,51E-12;
 ;8,00E+00;3,24E-12;
 ;9,00E+00;3,21E-12;
 ;1,00E+01;3,33E-12;9,71489E-15
0,3;1,00E+00;2,82E-12;3†189
 ;2,00E+00;3,29E-12;
 ;3,00E+00;3,50E-12;
 ;4,00E+00;3,76E-12;
 ;5,00E+00;3,88E-12;
 ;6,00E+00;3,82E-12;
 ;7,00E+00;3,56E-12;
 ;8,00E+00;3,29E-12;
 ;9,00E+00;3,25E-12;
 ;1,00E+01;3,38E-12;9,91729E-15
0,31;1,00E+00;2,81E-12;3†069
 ;2,00E+00;3,29E-12;
 ;3,00E+00;3,50E-12;
 ;4,00E+00;3,76E-12;
 ;5,00E+00;3,88E-12;
 ;6,00E+00;3,81E-12;
 ;7,00E+00;3,55E-12;
 ;8,00E+00;3,28E-12;
 ;9,00E+00;3,25E-12;
 ;1,00E+01;3,38E-12;9,91729E-15
0,32;1,00E+00;2,72E-12;2†960
 ;2,00E+00;3,18E-12;
 ;3,00E+00;3,38E-12;
 ;4,00E+00;3,63E-12;
 ;5,00E+00;3,75E-12;
 ;6,00E+00;3,68E-12;
 ;7,00E+00;3,43E-12;
 ;8,00E+00;3,17E-12;
 ;9,00E+00;3,14E-12;
 ;1,00E+01;3,26E-12;9,71489E-15
0,33;1,00E+00;2,75E-12;2†853
 ;2,00E+00;3,21E-12;
 ;3,00E+00;3,41E-12;
 ;4,00E+00;3,66E-12;
 ;5,00E+00;3,79E-12;
 ;6,00E+00;3,72E-12;
 ;7,00E+00;3,47E-12;
 ;8,00E+00;3,20E-12;
 ;9,00E+00;3,17E-12;
 ;1,00E+01;3,29E-12;9,81609E-15
0,34;1,00E+00;2,76E-12;2†753
 ;2,00E+00;3,22E-12;
 ;3,00E+00;3,43E-12;
 ;4,00E+00;3,68E-12;
 ;5,00E+00;3,80E-12;
 ;6,00E+00;3,73E-12;
 ;7,00E+00;3,48E-12;
 ;8,00E+00;3,21E-12;
 ;9,00E+00;3,18E-12;
 ;1,00E+01;3,30E-12;9,91729E-15
0,35;1,00E+00;2,70E-12;2†661
 ;2,00E+00;3,15E-12;
 ;3,00E+00;3,36E-12;
 ;4,00E+00;3,60E-12;
 ;5,00E+00;3,72E-12;
 ;6,00E+00;3,66E-12;
 ;7,00E+00;3,41E-12;
 ;8,00E+00;3,15E-12;
 ;9,00E+00;3,12E-12;
 ;1,00E+01;3,23E-12;9,91729E-15
0,36;1,00E+00;2,68E-12;2†573
 ;2,00E+00;3,12E-12;
 ;3,00E+00;3,33E-12;
 ;4,00E+00;3,57E-12;
 ;5,00E+00;3,69E-12;
 ;6,00E+00;3,62E-12;
 ;7,00E+00;3,38E-12;
 ;8,00E+00;3,12E-12;
 ;9,00E+00;3,09E-12;
 ;1,00E+01;3,20E-12;9,71489E-15
0,37;1,00E+00;2,71E-12;2†488
 ;2,00E+00;3,16E-12;
 ;3,00E+00;3,36E-12;
 ;4,00E+00;3,61E-12;
 ;5,00E+00;3,73E-12;
 ;6,00E+00;3,67E-12;
 ;7,00E+00;3,42E-12;
 ;8,00E+00;3,16E-12;
 ;9,00E+00;3,12E-12;
 ;1,00E+01;3,24E-12;9,91729E-15
0,38;1,00E+00;2,63E-12;2†411
 ;2,00E+00;3,07E-12;
 ;3,00E+00;3,26E-12;
 ;4,00E+00;3,50E-12;
 ;5,00E+00;3,62E-12;
 ;6,00E+00;3,55E-12;
 ;7,00E+00;3,31E-12;
 ;8,00E+00;3,06E-12;
 ;9,00E+00;3,03E-12;
 ;1,00E+01;3,14E-12;9,81609E-15
0,39;1,00E+00;2,67E-12;2†334
 ;2,00E+00;3,12E-12;
 ;3,00E+00;3,32E-12;
 ;4,00E+00;3,56E-12;
 ;5,00E+00;3,68E-12;
 ;6,00E+00;3,62E-12;
 ;7,00E+00;3,37E-12;
 ;8,00E+00;3,12E-12;
 ;9,00E+00;3,08E-12;
 ;1,00E+01;3,20E-12;9,91729E-15
0,4;1,00E+00;2,65E-12;2†263
 ;2,00E+00;3,09E-12;
 ;3,00E+00;3,29E-12;
 ;4,00E+00;3,53E-12;
 ;5,00E+00;3,65E-12;
 ;6,00E+00;3,58E-12;
 ;7,00E+00;3,34E-12;
 ;8,00E+00;3,08E-12;
 ;9,00E+00;3,05E-12;
 ;1,00E+01;3,17E-12;9,91729E-15
0,41;1,00E+00;2,61E-12;2†196
 ;2,00E+00;3,04E-12;
 ;3,00E+00;3,24E-12;
 ;4,00E+00;3,47E-12;
 ;5,00E+00;3,59E-12;
 ;6,00E+00;3,52E-12;
 ;7,00E+00;3,29E-12;
 ;8,00E+00;3,04E-12;
 ;9,00E+00;3,00E-12;
 ;1,00E+01;3,12E-12;9,81609E-15
0,42;1,00E+00;2,64E-12;2†130
 ;2,00E+00;3,08E-12;
 ;3,00E+00;3,27E-12;
 ;4,00E+00;3,51E-12;
 ;5,00E+00;3,63E-12;
 ;6,00E+00;3,57E-12;
 ;7,00E+00;3,33E-12;
 ;8,00E+00;3,07E-12;
 ;9,00E+00;3,04E-12;
 ;1,00E+01;3,15E-12;9,91729E-15
0,43;1,00E+00;2,60E-12;2†069
 ;2,00E+00;3,03E-12;
 ;3,00E+00;3,23E-12;
 ;4,00E+00;3,46E-12;
 ;5,00E+00;3,58E-12;
 ;6,00E+00;3,52E-12;
 ;7,00E+00;3,28E-12;
 ;8,00E+00;3,03E-12;
 ;9,00E+00;2,99E-12;
 ;1,00E+01;3,11E-12;9,91729E-15
0,44;1,00E+00;2,59E-12;2†010
 ;2,00E+00;3,03E-12;
 ;3,00E+00;3,22E-12;
 ;4,00E+00;3,45E-12;
 ;5,00E+00;3,57E-12;
 ;6,00E+00;3,51E-12;
 ;7,00E+00;3,27E-12;
 ;8,00E+00;3,02E-12;
 ;9,00E+00;2,99E-12;
 ;1,00E+01;3,10E-12;9,91729E-15
0,45;1,00E+00;2,57E-12;1†954
 ;2,00E+00;3,00E-12;
 ;3,00E+00;3,19E-12;
 ;4,00E+00;3,42E-12;
 ;5,00E+00;3,54E-12;
 ;6,00E+00;3,47E-12;
 ;7,00E+00;3,24E-12;
 ;8,00E+00;2,99E-12;
 ;9,00E+00;2,96E-12;
 ;1,00E+01;3,07E-12;9,91729E-15
0,46;1,00E+00;2,56E-12;1†900
 ;2,00E+00;2,99E-12;
 ;3,00E+00;3,18E-12;
 ;4,00E+00;3,41E-12;
 ;5,00E+00;3,53E-12;
 ;6,00E+00;3,46E-12;
 ;7,00E+00;3,23E-12;
 ;8,00E+00;2,98E-12;
 ;9,00E+00;2,95E-12;
 ;1,00E+01;3,06E-12;9,91729E-15
0,47;1,00E+00;2,53E-12;1†849
 ;2,00E+00;2,95E-12;
 ;3,00E+00;3,14E-12;
 ;4,00E+00;3,37E-12;
 ;5,00E+00;3,48E-12;
 ;6,00E+00;3,42E-12;
 ;7,00E+00;3,19E-12;
 ;8,00E+00;2,95E-12;
 ;9,00E+00;2,92E-12;
 ;1,00E+01;3,02E-12;9,91729E-15
0,48;1,00E+00;2,54E-12;1†799
 ;2,00E+00;2,96E-12;
 ;3,00E+00;3,15E-12;
 ;4,00E+00;3,38E-12;
 ;5,00E+00;3,49E-12;
 ;6,00E+00;3,43E-12;
 ;7,00E+00;3,20E-12;
 ;8,00E+00;2,96E-12;
 ;9,00E+00;2,93E-12;
 ;1,00E+01;3,03E-12;9,81609E-15
0,49;1,00E+00;2,47E-12;1†753
 ;2,00E+00;2,88E-12;
 ;3,00E+00;3,06E-12;
 ;4,00E+00;3,29E-12;
 ;5,00E+00;3,40E-12;
 ;6,00E+00;3,34E-12;
 ;7,00E+00;3,11E-12;
 ;8,00E+00;2,88E-12;
 ;9,00E+00;2,84E-12;
 ;1,00E+01;2,95E-12;9,81609E-15
0,5;1,00E+00;2,48E-12;1†707
 ;2,00E+00;2,89E-12;
 ;3,00E+00;3,07E-12;
 ;4,00E+00;3,30E-12;
 ;5,00E+00;3,41E-12;
 ;6,00E+00;3,35E-12;
 ;7,00E+00;3,12E-12;
 ;8,00E+00;2,88E-12;
 ;9,00E+00;2,85E-12;
 ;1,00E+01;2,96E-12;9,91729E-15
0,51;1,00E+00;2,44E-12;1†664
 ;2,00E+00;2,84E-12;
 ;3,00E+00;3,02E-12;
 ;4,00E+00;3,24E-12;
 ;5,00E+00;3,35E-12;
 ;6,00E+00;3,29E-12;
 ;7,00E+00;3,07E-12;
 ;8,00E+00;2,83E-12;
 ;9,00E+00;2,80E-12;
 ;1,00E+01;2,90E-12;9,81609E-15
0,52;1,00E+00;2,46E-12;1†621
 ;2,00E+00;2,87E-12;
 ;3,00E+00;3,05E-12;
 ;4,00E+00;3,27E-12;
 ;5,00E+00;3,38E-12;
 ;6,00E+00;3,32E-12;
 ;7,00E+00;3,10E-12;
 ;8,00E+00;2,86E-12;
 ;9,00E+00;2,83E-12;
 ;1,00E+01;2,93E-12;9,91729E-15
0,53;1,00E+00;2,43E-12;1†581
 ;2,00E+00;2,83E-12;
 ;3,00E+00;3,01E-12;
 ;4,00E+00;3,23E-12;
 ;5,00E+00;3,34E-12;
 ;6,00E+00;3,28E-12;
 ;7,00E+00;3,06E-12;
 ;8,00E+00;2,82E-12;
 ;9,00E+00;2,79E-12;
 ;1,00E+01;2,89E-12;9,91729E-15
0,54;1,00E+00;2,37E-12;1†543
 ;2,00E+00;2,77E-12;
 ;3,00E+00;2,94E-12;
 ;4,00E+00;3,15E-12;
 ;5,00E+00;3,26E-12;
 ;6,00E+00;3,20E-12;
 ;7,00E+00;2,99E-12;
 ;8,00E+00;2,76E-12;
 ;9,00E+00;2,73E-12;
 ;1,00E+01;2,82E-12;9,6137E-15
0,55;1,00E+00;2,42E-12;1†504
 ;2,00E+00;2,83E-12;
 ;3,00E+00;3,00E-12;
 ;4,00E+00;3,22E-12;
 ;5,00E+00;3,33E-12;
 ;6,00E+00;3,27E-12;
 ;7,00E+00;3,05E-12;
 ;8,00E+00;2,82E-12;
 ;9,00E+00;2,79E-12;
 ;1,00E+01;2,88E-12;9,91729E-15
0,56;1,00E+00;2,40E-12;1†468
 ;2,00E+00;2,80E-12;
 ;3,00E+00;2,97E-12;
 ;4,00E+00;3,19E-12;
 ;5,00E+00;3,30E-12;
 ;6,00E+00;3,24E-12;
 ;7,00E+00;3,02E-12;
 ;8,00E+00;2,79E-12;
 ;9,00E+00;2,76E-12;
 ;1,00E+01;2,86E-12;9,91729E-15
0,57;1,00E+00;2,39E-12;1†433
 ;2,00E+00;2,79E-12;
 ;3,00E+00;2,96E-12;
 ;4,00E+00;3,17E-12;
 ;5,00E+00;3,28E-12;
 ;6,00E+00;3,22E-12;
 ;7,00E+00;3,01E-12;
 ;8,00E+00;2,78E-12;
 ;9,00E+00;2,74E-12;
 ;1,00E+01;2,84E-12;9,91729E-15
0,58;1,00E+00;2,34E-12;1†400
 ;2,00E+00;2,73E-12;
 ;3,00E+00;2,90E-12;
 ;4,00E+00;3,11E-12;
 ;5,00E+00;3,21E-12;
 ;6,00E+00;3,15E-12;
 ;7,00E+00;2,94E-12;
 ;8,00E+00;2,72E-12;
 ;9,00E+00;2,69E-12;
 ;1,00E+01;2,78E-12;9,91729E-15
0,59;1,00E+00;2,35E-12;1†367
 ;2,00E+00;2,73E-12;
 ;3,00E+00;2,90E-12;
 ;4,00E+00;3,11E-12;
 ;5,00E+00;3,22E-12;
 ;6,00E+00;3,16E-12;
 ;7,00E+00;2,95E-12;
 ;8,00E+00;2,72E-12;
 ;9,00E+00;2,69E-12;
 ;1,00E+01;2,79E-12;9,91729E-15
0,6;1,00E+00;2,31E-12;1†336
 ;2,00E+00;2,69E-12;
 ;3,00E+00;2,85E-12;
 ;4,00E+00;3,06E-12;
 ;5,00E+00;3,16E-12;
 ;6,00E+00;3,11E-12;
 ;7,00E+00;2,90E-12;
 ;8,00E+00;2,67E-12;
 ;9,00E+00;2,65E-12;
 ;1,00E+01;2,74E-12;9,81609E-15
0,61;1,00E+00;2,32E-12;1†305
 ;2,00E+00;2,70E-12;
 ;3,00E+00;2,87E-12;
 ;4,00E+00;3,07E-12;
 ;5,00E+00;3,18E-12;
 ;6,00E+00;3,12E-12;
 ;7,00E+00;2,91E-12;
 ;8,00E+00;2,69E-12;
 ;9,00E+00;2,66E-12;
 ;1,00E+01;2,75E-12;9,91729E-15
0,62;1,00E+00;2,33E-12;1†275
 ;2,00E+00;2,71E-12;
 ;3,00E+00;2,88E-12;
 ;4,00E+00;3,09E-12;
 ;5,00E+00;3,19E-12;
 ;6,00E+00;3,13E-12;
 ;7,00E+00;2,92E-12;
 ;8,00E+00;2,70E-12;
 ;9,00E+00;2,67E-12;
 ;1,00E+01;2,76E-12;9,91729E-15
0,63;1,00E+00;2,29E-12;1†247
 ;2,00E+00;2,66E-12;
 ;3,00E+00;2,83E-12;
 ;4,00E+00;3,03E-12;
 ;5,00E+00;3,13E-12;
 ;6,00E+00;3,08E-12;
 ;7,00E+00;2,87E-12;
 ;8,00E+00;2,65E-12;
 ;9,00E+00;2,62E-12;
 ;1,00E+01;2,71E-12;9,91729E-15
0,64;1,00E+00;2,24E-12;1†220
 ;2,00E+00;2,60E-12;
 ;3,00E+00;2,76E-12;
 ;4,00E+00;2,96E-12;
 ;5,00E+00;3,06E-12;
 ;6,00E+00;3,01E-12;
 ;7,00E+00;2,81E-12;
 ;8,00E+00;2,59E-12;
 ;9,00E+00;2,56E-12;
 ;1,00E+01;2,65E-12;9,6137E-15
0,65;1,00E+00;2,23E-12;1†193
 ;2,00E+00;2,59E-12;
 ;3,00E+00;2,75E-12;
